arm,artifact,axis_value,count
RND,blur,display-like,10
RND,blur,fabric-like,11
RND,blur,paper-like,16
RND,blur,plastic-like,21
RND,blur,reflective-film-like,17
RND,boundary_inconsistency,display-like,16
RND,boundary_inconsistency,fabric-like,18
RND,boundary_inconsistency,paper-like,22
RND,boundary_inconsistency,plastic-like,18
RND,boundary_inconsistency,reflective-film-like,11
RND,color_shift,display-like,13
RND,color_shift,fabric-like,17
RND,color_shift,paper-like,18
RND,color_shift,plastic-like,17
RND,color_shift,reflective-film-like,11
RND,halftone,display-like,0
RND,halftone,fabric-like,21
RND,halftone,paper-like,27
RND,halftone,plastic-like,0
RND,halftone,reflective-film-like,0
RND,moire,display-like,15
RND,moire,fabric-like,0
RND,moire,paper-like,0
RND,moire,plastic-like,0
RND,moire,reflective-film-like,19
RND,pixel_grid,display-like,29
RND,pixel_grid,fabric-like,0
RND,pixel_grid,paper-like,0
RND,pixel_grid,plastic-like,0
RND,pixel_grid,reflective-film-like,0
RND,specular_reflection,display-like,10
RND,specular_reflection,fabric-like,0
RND,specular_reflection,paper-like,0
RND,specular_reflection,plastic-like,29
RND,specular_reflection,reflective-film-like,21
RND,texture_smoothing,display-like,14
RND,texture_smoothing,fabric-like,15
RND,texture_smoothing,paper-like,13
RND,texture_smoothing,plastic-like,19
RND,texture_smoothing,reflective-film-like,13
DET,blur,display-like,10
DET,blur,fabric-like,17
DET,blur,paper-like,22
DET,blur,plastic-like,19
DET,blur,reflective-film-like,15
DET,boundary_inconsistency,display-like,13
DET,boundary_inconsistency,fabric-like,15
DET,boundary_inconsistency,paper-like,13
DET,boundary_inconsistency,plastic-like,23
DET,boundary_inconsistency,reflective-film-like,7
DET,color_shift,display-like,13
DET,color_shift,fabric-like,16
DET,color_shift,paper-like,14
DET,color_shift,plastic-like,11
DET,color_shift,reflective-film-like,12
DET,halftone,display-like,0
DET,halftone,fabric-like,26
DET,halftone,paper-like,23
DET,halftone,plastic-like,0
DET,halftone,reflective-film-like,0
DET,moire,display-like,14
DET,moire,fabric-like,0
DET,moire,paper-like,0
DET,moire,plastic-like,0
DET,moire,reflective-film-like,31
DET,pixel_grid,display-like,17
DET,pixel_grid,fabric-like,0
DET,pixel_grid,paper-like,0
DET,pixel_grid,plastic-like,0
DET,pixel_grid,reflective-film-like,0
DET,specular_reflection,display-like,13
DET,specular_reflection,fabric-like,0
DET,specular_reflection,paper-like,0
DET,specular_reflection,plastic-like,19
DET,specular_reflection,reflective-film-like,25
DET,texture_smoothing,display-like,10
DET,texture_smoothing,fabric-like,15
DET,texture_smoothing,paper-like,13
DET,texture_smoothing,plastic-like,20
DET,texture_smoothing,reflective-film-like,11
LLM,blur,display-like,6
LLM,blur,fabric-like,17
LLM,blur,paper-like,15
LLM,blur,plastic-like,18
LLM,blur,reflective-film-like,9
LLM,boundary_inconsistency,display-like,5
LLM,boundary_inconsistency,fabric-like,16
LLM,boundary_inconsistency,paper-like,21
LLM,boundary_inconsistency,plastic-like,23
LLM,boundary_inconsistency,reflective-film-like,12
LLM,color_shift,display-like,9
LLM,color_shift,fabric-like,18
LLM,color_shift,paper-like,14
LLM,color_shift,plastic-like,15
LLM,color_shift,reflective-film-like,9
LLM,halftone,display-like,0
LLM,halftone,fabric-like,30
LLM,halftone,paper-like,35
LLM,halftone,plastic-like,0
LLM,halftone,reflective-film-like,0
LLM,moire,display-like,34
LLM,moire,fabric-like,0
LLM,moire,paper-like,0
LLM,moire,plastic-like,0
LLM,moire,reflective-film-like,28
LLM,pixel_grid,display-like,40
LLM,pixel_grid,fabric-like,0
LLM,pixel_grid,paper-like,0
LLM,pixel_grid,plastic-like,0
LLM,pixel_grid,reflective-film-like,0
LLM,specular_reflection,display-like,9
LLM,specular_reflection,fabric-like,0
LLM,specular_reflection,paper-like,0
LLM,specular_reflection,plastic-like,27
LLM,specular_reflection,reflective-film-like,38
LLM,texture_smoothing,display-like,7
LLM,texture_smoothing,fabric-like,21
LLM,texture_smoothing,paper-like,17
LLM,texture_smoothing,plastic-like,19
LLM,texture_smoothing,reflective-film-like,8
