arm,artifact,axis_value,count
RND,blur,context,13
RND,blur,face_boundary,13
RND,blur,forehead,11
RND,blur,left_cheek,14
RND,blur,left_eye,17
RND,blur,mouth,19
RND,blur,nose,16
RND,blur,right_cheek,17
RND,blur,right_eye,18
RND,boundary_inconsistency,context,16
RND,boundary_inconsistency,face_boundary,20
RND,boundary_inconsistency,forehead,13
RND,boundary_inconsistency,left_cheek,15
RND,boundary_inconsistency,left_eye,11
RND,boundary_inconsistency,mouth,14
RND,boundary_inconsistency,nose,22
RND,boundary_inconsistency,right_cheek,12
RND,boundary_inconsistency,right_eye,20
RND,color_shift,context,17
RND,color_shift,face_boundary,13
RND,color_shift,forehead,14
RND,color_shift,left_cheek,15
RND,color_shift,left_eye,16
RND,color_shift,mouth,14
RND,color_shift,nose,23
RND,color_shift,right_cheek,14
RND,color_shift,right_eye,18
RND,halftone,context,15
RND,halftone,face_boundary,14
RND,halftone,forehead,12
RND,halftone,left_cheek,9
RND,halftone,left_eye,7
RND,halftone,mouth,10
RND,halftone,nose,11
RND,halftone,right_cheek,5
RND,halftone,right_eye,6
RND,moire,context,11
RND,moire,face_boundary,4
RND,moire,forehead,10
RND,moire,left_cheek,5
RND,moire,left_eye,8
RND,moire,mouth,8
RND,moire,nose,4
RND,moire,right_cheek,9
RND,moire,right_eye,3
RND,pixel_grid,context,14
RND,pixel_grid,face_boundary,7
RND,pixel_grid,forehead,3
RND,pixel_grid,left_cheek,4
RND,pixel_grid,left_eye,6
RND,pixel_grid,mouth,2
RND,pixel_grid,nose,7
RND,pixel_grid,right_cheek,5
RND,pixel_grid,right_eye,5
RND,specular_reflection,context,12
RND,specular_reflection,face_boundary,16
RND,specular_reflection,forehead,14
RND,specular_reflection,left_cheek,10
RND,specular_reflection,left_eye,16
RND,specular_reflection,mouth,9
RND,specular_reflection,nose,7
RND,specular_reflection,right_cheek,12
RND,specular_reflection,right_eye,10
RND,texture_smoothing,context,12
RND,texture_smoothing,face_boundary,8
RND,texture_smoothing,forehead,18
RND,texture_smoothing,left_cheek,20
RND,texture_smoothing,left_eye,16
RND,texture_smoothing,mouth,22
RND,texture_smoothing,nose,16
RND,texture_smoothing,right_cheek,11
RND,texture_smoothing,right_eye,18
DET,blur,context,11
DET,blur,face_boundary,15
DET,blur,forehead,17
DET,blur,left_cheek,16
DET,blur,left_eye,19
DET,blur,mouth,16
DET,blur,nose,18
DET,blur,right_cheek,19
DET,blur,right_eye,20
DET,boundary_inconsistency,context,15
DET,boundary_inconsistency,face_boundary,8
DET,boundary_inconsistency,forehead,16
DET,boundary_inconsistency,left_cheek,15
DET,boundary_inconsistency,left_eye,16
DET,boundary_inconsistency,mouth,14
DET,boundary_inconsistency,nose,12
DET,boundary_inconsistency,right_cheek,16
DET,boundary_inconsistency,right_eye,16
DET,color_shift,context,11
DET,color_shift,face_boundary,9
DET,color_shift,forehead,16
DET,color_shift,left_cheek,18
DET,color_shift,left_eye,19
DET,color_shift,mouth,11
DET,color_shift,nose,15
DET,color_shift,right_cheek,12
DET,color_shift,right_eye,13
DET,halftone,context,13
DET,halftone,face_boundary,15
DET,halftone,forehead,13
DET,halftone,left_cheek,5
DET,halftone,left_eye,9
DET,halftone,mouth,10
DET,halftone,nose,8
DET,halftone,right_cheek,8
DET,halftone,right_eye,9
DET,moire,context,8
DET,moire,face_boundary,15
DET,moire,forehead,9
DET,moire,left_cheek,8
DET,moire,left_eye,12
DET,moire,mouth,10
DET,moire,nose,8
DET,moire,right_cheek,6
DET,moire,right_eye,7
DET,pixel_grid,context,9
DET,pixel_grid,face_boundary,7
DET,pixel_grid,forehead,4
DET,pixel_grid,left_cheek,4
DET,pixel_grid,left_eye,5
DET,pixel_grid,mouth,1
DET,pixel_grid,nose,2
DET,pixel_grid,right_cheek,1
DET,pixel_grid,right_eye,2
DET,specular_reflection,context,11
DET,specular_reflection,face_boundary,16
DET,specular_reflection,forehead,15
DET,specular_reflection,left_cheek,17
DET,specular_reflection,left_eye,12
DET,specular_reflection,mouth,12
DET,specular_reflection,nose,13
DET,specular_reflection,right_cheek,6
DET,specular_reflection,right_eye,12
DET,texture_smoothing,context,17
DET,texture_smoothing,face_boundary,11
DET,texture_smoothing,forehead,16
DET,texture_smoothing,left_cheek,14
DET,texture_smoothing,left_eye,11
DET,texture_smoothing,mouth,7
DET,texture_smoothing,nose,16
DET,texture_smoothing,right_cheek,13
DET,texture_smoothing,right_eye,16
LLM,blur,context,25
LLM,blur,face_boundary,21
LLM,blur,forehead,14
LLM,blur,left_cheek,24
LLM,blur,left_eye,15
LLM,blur,mouth,17
LLM,blur,nose,16
LLM,blur,right_cheek,19
LLM,blur,right_eye,11
LLM,boundary_inconsistency,context,44
LLM,boundary_inconsistency,face_boundary,51
LLM,boundary_inconsistency,forehead,14
LLM,boundary_inconsistency,left_cheek,12
LLM,boundary_inconsistency,left_eye,7
LLM,boundary_inconsistency,mouth,14
LLM,boundary_inconsistency,nose,6
LLM,boundary_inconsistency,right_cheek,16
LLM,boundary_inconsistency,right_eye,5
LLM,color_shift,context,16
LLM,color_shift,face_boundary,15
LLM,color_shift,forehead,25
LLM,color_shift,left_cheek,19
LLM,color_shift,left_eye,13
LLM,color_shift,mouth,24
LLM,color_shift,nose,21
LLM,color_shift,right_cheek,22
LLM,color_shift,right_eye,10
LLM,halftone,context,7
LLM,halftone,face_boundary,14
LLM,halftone,forehead,15
LLM,halftone,left_cheek,23
LLM,halftone,left_eye,24
LLM,halftone,mouth,23
LLM,halftone,nose,23
LLM,halftone,right_cheek,20
LLM,halftone,right_eye,28
LLM,moire,context,12
LLM,moire,face_boundary,9
LLM,moire,forehead,20
LLM,moire,left_cheek,15
LLM,moire,left_eye,29
LLM,moire,mouth,14
LLM,moire,nose,23
LLM,moire,right_cheek,18
LLM,moire,right_eye,31
LLM,pixel_grid,context,8
LLM,pixel_grid,face_boundary,6
LLM,pixel_grid,forehead,12
LLM,pixel_grid,left_cheek,8
LLM,pixel_grid,left_eye,20
LLM,pixel_grid,mouth,12
LLM,pixel_grid,nose,16
LLM,pixel_grid,right_cheek,7
LLM,pixel_grid,right_eye,21
LLM,specular_reflection,context,22
LLM,specular_reflection,face_boundary,20
LLM,specular_reflection,forehead,26
LLM,specular_reflection,left_cheek,19
LLM,specular_reflection,left_eye,20
LLM,specular_reflection,mouth,21
LLM,specular_reflection,nose,19
LLM,specular_reflection,right_cheek,19
LLM,specular_reflection,right_eye,21
LLM,texture_smoothing,context,13
LLM,texture_smoothing,face_boundary,11
LLM,texture_smoothing,forehead,22
LLM,texture_smoothing,left_cheek,27
LLM,texture_smoothing,left_eye,22
LLM,texture_smoothing,mouth,23
LLM,texture_smoothing,nose,28
LLM,texture_smoothing,right_cheek,26
LLM,texture_smoothing,right_eye,22
