arm,artifact,axis_value,count
RND,blur,"[0.0,0.1)",9
RND,blur,"[0.1,0.2)",17
RND,blur,"[0.2,0.3)",16
RND,blur,"[0.3,0.4)",21
RND,blur,"[0.4,0.5)",9
RND,blur,"[0.5,0.6)",3
RND,blur,"[0.6,0.7)",0
RND,boundary_inconsistency,"[0.0,0.1)",7
RND,boundary_inconsistency,"[0.1,0.2)",31
RND,boundary_inconsistency,"[0.2,0.3)",19
RND,boundary_inconsistency,"[0.3,0.4)",16
RND,boundary_inconsistency,"[0.4,0.5)",12
RND,boundary_inconsistency,"[0.5,0.6)",0
RND,boundary_inconsistency,"[0.6,0.7)",0
RND,color_shift,"[0.0,0.1)",15
RND,color_shift,"[0.1,0.2)",21
RND,color_shift,"[0.2,0.3)",25
RND,color_shift,"[0.3,0.4)",11
RND,color_shift,"[0.4,0.5)",4
RND,color_shift,"[0.5,0.6)",0
RND,color_shift,"[0.6,0.7)",0
RND,halftone,"[0.0,0.1)",3
RND,halftone,"[0.1,0.2)",10
RND,halftone,"[0.2,0.3)",4
RND,halftone,"[0.3,0.4)",11
RND,halftone,"[0.4,0.5)",10
RND,halftone,"[0.5,0.6)",10
RND,halftone,"[0.6,0.7)",0
RND,moire,"[0.0,0.1)",1
RND,moire,"[0.1,0.2)",11
RND,moire,"[0.2,0.3)",7
RND,moire,"[0.3,0.4)",13
RND,moire,"[0.4,0.5)",2
RND,moire,"[0.5,0.6)",0
RND,moire,"[0.6,0.7)",0
RND,pixel_grid,"[0.0,0.1)",2
RND,pixel_grid,"[0.1,0.2)",7
RND,pixel_grid,"[0.2,0.3)",3
RND,pixel_grid,"[0.3,0.4)",7
RND,pixel_grid,"[0.4,0.5)",8
RND,pixel_grid,"[0.5,0.6)",2
RND,pixel_grid,"[0.6,0.7)",0
RND,specular_reflection,"[0.0,0.1)",7
RND,specular_reflection,"[0.1,0.2)",11
RND,specular_reflection,"[0.2,0.3)",12
RND,specular_reflection,"[0.3,0.4)",11
RND,specular_reflection,"[0.4,0.5)",11
RND,specular_reflection,"[0.5,0.6)",6
RND,specular_reflection,"[0.6,0.7)",2
RND,texture_smoothing,"[0.0,0.1)",3
RND,texture_smoothing,"[0.1,0.2)",10
RND,texture_smoothing,"[0.2,0.3)",16
RND,texture_smoothing,"[0.3,0.4)",18
RND,texture_smoothing,"[0.4,0.5)",14
RND,texture_smoothing,"[0.5,0.6)",13
RND,texture_smoothing,"[0.6,0.7)",0
DET,blur,"[0.0,0.1)",12
DET,blur,"[0.1,0.2)",11
DET,blur,"[0.2,0.3)",15
DET,blur,"[0.3,0.4)",15
DET,blur,"[0.4,0.5)",20
DET,blur,"[0.5,0.6)",10
DET,blur,"[0.6,0.7)",0
DET,boundary_inconsistency,"[0.0,0.1)",14
DET,boundary_inconsistency,"[0.1,0.2)",15
DET,boundary_inconsistency,"[0.2,0.3)",17
DET,boundary_inconsistency,"[0.3,0.4)",17
DET,boundary_inconsistency,"[0.4,0.5)",8
DET,boundary_inconsistency,"[0.5,0.6)",0
DET,boundary_inconsistency,"[0.6,0.7)",0
DET,color_shift,"[0.0,0.1)",7
DET,color_shift,"[0.1,0.2)",17
DET,color_shift,"[0.2,0.3)",18
DET,color_shift,"[0.3,0.4)",19
DET,color_shift,"[0.4,0.5)",5
DET,color_shift,"[0.5,0.6)",0
DET,color_shift,"[0.6,0.7)",0
DET,halftone,"[0.0,0.1)",6
