arm_a,arm_b,distribution,js_divergence
RND,DET,marginal:medium.family,0.00001896
RND,DET,marginal:geometry.shape,0.00002298
RND,DET,marginal:capture.illumination,0.00004596
RND,DET,marginal:regions,0.00065379
RND,DET,marginal:artifacts,0.00358537
RND,DET,cooccurrence:artifact_x_region,0.01800898
RND,DET,cooccurrence:artifact_x_medium,0.01004090
RND,DET,cooccurrence:artifact_x_severity_bin,0.03179255
RND,LLM,marginal:medium.family,0.00000000
RND,LLM,marginal:geometry.shape,0.00002298
RND,LLM,marginal:capture.illumination,0.00004596
RND,LLM,marginal:regions,0.00048704
RND,LLM,marginal:artifacts,0.00729126
RND,LLM,cooccurrence:artifact_x_region,0.04177585
RND,LLM,cooccurrence:artifact_x_medium,0.01793337
RND,LLM,cooccurrence:artifact_x_severity_bin,0.18682937
DET,LLM,marginal:medium.family,0.00001896
DET,LLM,marginal:geometry.shape,0.00002298
DET,LLM,marginal:capture.illumination,0.00002298
DET,LLM,marginal:regions,0.00045895
DET,LLM,marginal:artifacts,0.00781456
DET,LLM,cooccurrence:artifact_x_region,0.04523073
DET,LLM,cooccurrence:artifact_x_medium,0.01908945
DET,LLM,cooccurrence:artifact_x_severity_bin,0.21026960
