arm,metric,n,mean,sd_ddof1,median,q1,q3,min,max
RND,artifact_strength_overall,481,0.282050,0.140236,0.277200,0.165600,0.389600,0.050000,0.642800
DET,artifact_strength_overall,457,0.297674,0.147258,0.303800,0.165700,0.416400,0.050900,0.601400
LLM,artifact_strength_overall,520,0.262500,0.072044,0.250000,0.200000,0.300000,0.100000,0.500000
RND,strength:blur,75,0.265007,0.131132,0.266200,0.151850,0.361400,0.053700,0.537500
RND,strength:boundary_inconsistency,85,0.250040,0.119208,0.244100,0.157200,0.340200,0.051500,0.498200
RND,strength:color_shift,76,0.215843,0.105454,0.208200,0.123825,0.288925,0.050000,0.430700
RND,strength:halftone,48,0.344160,0.163017,0.379800,0.189675,0.468125,0.050700,0.592500
RND,strength:moire,34,0.255512,0.103016,0.274400,0.153550,0.343350,0.086100,0.412800
RND,strength:pixel_grid,29,0.317714,0.138088,0.341100,0.175000,0.443100,0.065200,0.517700
RND,strength:specular_reflection,60,0.306705,0.159843,0.301600,0.178700,0.424750,0.054900,0.642800
RND,strength:texture_smoothing,74,0.342027,0.143742,0.332550,0.244850,0.456675,0.061900,0.593300
DET,strength:blur,83,0.309499,0.152496,0.325700,0.190750,0.442950,0.062200,0.548600
DET,strength:boundary_inconsistency,71,0.244118,0.127700,0.253300,0.148950,0.336700,0.052100,0.493500
DET,strength:color_shift,66,0.248856,0.109874,0.244800,0.154350,0.332925,0.051600,0.428700
DET,strength:halftone,49,0.324661,0.155887,0.351900,0.190900,0.452300,0.060600,0.547800
DET,strength:moire,45,0.272689,0.136493,0.288400,0.145000,0.379500,0.053900,0.496800
DET,strength:pixel_grid,17,0.382841,0.140680,0.406300,0.282800,0.481500,0.111300,0.549100
DET,strength:specular_reflection,57,0.344223,0.162227,0.362200,0.167100,0.486000,0.085500,0.601400
DET,strength:texture_smoothing,69,0.322945,0.151045,0.328900,0.187000,0.457000,0.050900,0.589500
LLM,strength:blur,65,0.206923,0.041342,0.200000,0.200000,0.200000,0.150000,0.350000
LLM,strength:boundary_inconsistency,77,0.282468,0.068713,0.300000,0.250000,0.350000,0.150000,0.450000
LLM,strength:color_shift,65,0.193846,0.046358,0.200000,0.150000,0.200000,0.100000,0.350000
LLM,strength:halftone,65,0.272308,0.054508,0.250000,0.250000,0.300000,0.150000,0.400000
LLM,strength:moire,62,0.258065,0.045443,0.250000,0.212500,0.300000,0.200000,0.350000
LLM,strength:pixel_grid,40,0.296250,0.059256,0.300000,0.250000,0.350000,0.200000,0.400000
LLM,strength:specular_reflection,74,0.332432,0.075140,0.350000,0.300000,0.400000,0.150000,0.500000
LLM,strength:texture_smoothing,72,0.257639,0.061472,0.250000,0.200000,0.300000,0.150000,0.400000
RND,total_artifact_strength_per_recipe,256,0.529946,0.282952,0.482750,0.309575,0.756250,0.052400,1.000000
DET,total_artifact_strength_per_recipe,256,0.531394,0.287264,0.476600,0.307475,0.779075,0.050900,0.999900
LLM,total_artifact_strength_per_recipe,256,0.533203,0.068679,0.550000,0.500000,0.600000,0.350000,0.750000
