fold_id,reserve_tranche,route,slot,recipe_ordinal,position,domain_relation,live_target_sample_id,spoof_source_sample_id,arm,recipe_id,candidate_id
EXT-F1,1,physics,8,0,2048,,m3b_casia_fasd_live_8,,RND,rnd_0000,c5syn_6f4a94cdd16d3150c37277dd
EXT-F1,1,physics,8,1,2049,,m3b_casia_fasd_live_9,,RND,rnd_0001,c5syn_e3cec366d1d235c3b982a647
EXT-F1,1,physics,8,2,2050,,m3b_msu_mfsd_live_0,,RND,rnd_0002,c5syn_6d06556f7d7000bf2d31f510
EXT-F1,1,physics,8,3,2051,,m3b_msu_mfsd_live_1,,RND,rnd_0003,c5syn_684734a01bd7c23bc96c9e40
EXT-F1,1,physics,8,4,2052,,m3b_msu_mfsd_live_2,,RND,rnd_0004,c5syn_0b466ed5364649a193fddb77
EXT-F1,1,physics,8,5,2053,,m3b_msu_mfsd_live_3,,RND,rnd_0005,c5syn_7d80021ab3102aff4ddef45e
EXT-F1,1,physics,8,6,2054,,m3b_msu_mfsd_live_4,,RND,rnd_0006,c5syn_d5d2684880701e9fe86b9fe1
EXT-F1,1,physics,8,7,2055,,m3b_msu_mfsd_live_5,,RND,rnd_0007,c5syn_fd039d054ab33abafce797d5
EXT-F1,1,gpat,9,0,2304,same_domain,m3b_casia_fasd_live_4,m3b_casia_fasd_spoof_8,RND,rnd_0000,c5syn_d6b2d698d27bb9c68d1e9c14
EXT-F1,1,gpat,9,1,2305,same_domain,m3b_casia_fasd_live_5,m3b_casia_fasd_spoof_0,RND,rnd_0001,c5syn_44591f2fb7b9b638bfb5ca74
EXT-F1,1,gpat,9,2,2306,same_domain,m3b_casia_fasd_live_6,m3b_casia_fasd_spoof_6,RND,rnd_0002,c5syn_67630b4d8d2d74a49af74a1c
EXT-F1,1,gpat,9,3,2307,same_domain,m3b_casia_fasd_live_7,m3b_casia_fasd_spoof_6,RND,rnd_0003,c5syn_b20a73a7cff5906d1ad0e068
EXT-F1,1,gpat,9,4,2308,same_domain,m3b_casia_fasd_live_8,m3b_casia_fasd_spoof_8,RND,rnd_0004,c5syn_baaa0eff38ea84976d5e2e62
EXT-F1,1,gpat,9,5,2309,same_domain,m3b_casia_fasd_live_9,m3b_casia_fasd_spoof_7,RND,rnd_0005,c5syn_42547024e0e5e09f27f4ee83
EXT-F1,1,gpat,9,6,2310,same_domain,m3b_msu_mfsd_live_0,m3b_msu_mfsd_spoof_6,RND,rnd_0006,c5syn_55b86a6cdaf0f17adab798db
EXT-F1,1,gpat,9,7,2311,same_domain,m3b_msu_mfsd_live_1,m3b_msu_mfsd_spoof_9,RND,rnd_0007,c5syn_b411a63dfbae9b84ee58fcb9
EXT-F1,2,physics,10,0,2560,,m3b_casia_fasd_live_0,,RND,rnd_0000,c5syn_407c821140b7566b840c37d4
EXT-F1,2,physics,10,1,2561,,m3b_casia_fasd_live_1,,RND,rnd_0001,c5syn_4bde7ee74875eaa21f20c8e0
EXT-F1,2,physics,10,2,2562,,m3b_casia_fasd_live_2,,RND,rnd_0002,c5syn_fc3e14b11e044691b7322cbc
EXT-F1,2,physics,10,3,2563,,m3b_casia_fasd_live_3,,RND,rnd_0003,c5syn_355657dc856c50a0ec9640ed
EXT-F1,2,physics,10,4,2564,,m3b_casia_fasd_live_4,,RND,rnd_0004,c5syn_890c7592925cb5483866c7a5
EXT-F1,2,physics,10,5,2565,,m3b_casia_fasd_live_5,,RND,rnd_0005,c5syn_8e5697f1b1ab0497580ecb60
EXT-F1,2,physics,10,6,2566,,m3b_casia_fasd_live_6,,RND,rnd_0006,c5syn_f388f1d914f2030610f5934f
EXT-F1,2,physics,10,7,2567,,m3b_casia_fasd_live_7,,RND,rnd_0007,c5syn_d83fd802c4d904b8663e4c0b
EXT-F1,2,gpat,11,0,2816,cross_domain,m3b_msu_mfsd_live_6,m3b_casia_fasd_spoof_2,RND,rnd_0000,c5syn_b48ae8b98e481f040c15501b
EXT-F1,2,gpat,11,1,2817,cross_domain,m3b_msu_mfsd_live_7,m3b_casia_fasd_spoof_8,RND,rnd_0001,c5syn_630503d2dadd4bfd1e755cdc
EXT-F1,2,gpat,11,2,2818,cross_domain,m3b_msu_mfsd_live_8,m3b_casia_fasd_spoof_3,RND,rnd_0002,c5syn_b5c2f37de49ae870eda36f17
EXT-F1,2,gpat,11,3,2819,cross_domain,m3b_msu_mfsd_live_9,m3b_casia_fasd_spoof_2,RND,rnd_0003,c5syn_14089a5699c448eb175ff4f2
EXT-F1,2,gpat,11,4,2820,cross_domain,m3b_casia_fasd_live_0,m3b_msu_mfsd_spoof_7,RND,rnd_0004,c5syn_c5164c6cf24613096b05e3f1
EXT-F1,2,gpat,11,5,2821,cross_domain,m3b_casia_fasd_live_1,m3b_msu_mfsd_spoof_1,RND,rnd_0005,c5syn_849f594e0ac9926a0b77dbad
EXT-F1,2,gpat,11,6,2822,cross_domain,m3b_casia_fasd_live_2,m3b_msu_mfsd_spoof_4,RND,rnd_0006,c5syn_0bf3d000f78ee452ebe39a44
EXT-F1,2,gpat,11,7,2823,cross_domain,m3b_casia_fasd_live_3,m3b_msu_mfsd_spoof_0,RND,rnd_0007,c5syn_057fdec4d1a3c8b66239a47d
EXT-F1,3,physics,12,0,3072,,m3b_msu_mfsd_live_2,,RND,rnd_0000,c5syn_632453d63c4b63e492b1d227
EXT-F1,3,physics,12,1,3073,,m3b_msu_mfsd_live_3,,RND,rnd_0001,c5syn_f8a0fff40fafc403d6d2e420
EXT-F1,3,physics,12,2,3074,,m3b_msu_mfsd_live_4,,RND,rnd_0002,c5syn_7c13836fdebe1a05f6a6ad35
EXT-F1,3,physics,12,3,3075,,m3b_msu_mfsd_live_5,,RND,rnd_0003,c5syn_9e6dbf5eded23f661f1ed34a
EXT-F1,3,physics,12,4,3076,,m3b_msu_mfsd_live_6,,RND,rnd_0004,c5syn_5078e08f33e4ce5d22594494
EXT-F1,3,physics,12,5,3077,,m3b_msu_mfsd_live_7,,RND,rnd_0005,c5syn_ec4ac109311ec9a509a3a013
EXT-F1,3,physics,12,6,3078,,m3b_msu_mfsd_live_8,,RND,rnd_0006,c5syn_3302fdecef907032649fa59b
EXT-F1,3,physics,12,7,3079,,m3b_msu_mfsd_live_9,,RND,rnd_0007,c5syn_3a928e2bdc7221082853708f
EXT-F1,3,gpat,13,0,3328,same_domain,m3b_casia_fasd_live_8,m3b_casia_fasd_spoof_5,RND,rnd_0000,c5syn_fef3ba5dad7725741be45864
EXT-F1,3,gpat,13,1,3329,same_domain,m3b_casia_fasd_live_9,m3b_casia_fasd_spoof_2,RND,rnd_0001,c5syn_13cf5654d07abbbc651cf124
EXT-F1,3,gpat,13,2,3330,same_domain,m3b_msu_mfsd_live_0,m3b_msu_mfsd_spoof_7,RND,rnd_0002,c5syn_5f1e6e46cee51ca916119444
EXT-F1,3,gpat,13,3,3331,same_domain,m3b_msu_mfsd_live_1,m3b_msu_mfsd_spoof_9,RND,rnd_0003,c5syn_9e09f023c00bf7dee2898713
EXT-F1,3,gpat,13,4,3332,same_domain,m3b_msu_mfsd_live_2,m3b_msu_mfsd_spoof_1,RND,rnd_0004,c5syn_f5257509d2f36c0fcc301a93
EXT-F1,3,gpat,13,5,3333,same_domain,m3b_msu_mfsd_live_3,m3b_msu_mfsd_spoof_9,RND,rnd_0005,c5syn_90c017abcd5e43a51ee0810b
EXT-F1,3,gpat,13,6,3334,same_domain,m3b_msu_mfsd_live_4,m3b_msu_mfsd_spoof_5,RND,rnd_0006,c5syn_1698c626317fd21bc1b44864
EXT-F1,3,gpat,13,7,3335,same_domain,m3b_msu_mfsd_live_5,m3b_msu_mfsd_spoof_9,RND,rnd_0007,c5syn_c39082aa268f218dec61cc3f
EXT-F1,4,physics,14,0,3584,,m3b_casia_fasd_live_4,,RND,rnd_0000,c5syn_c49ecb5765efbfc67e097c11
EXT-F1,4,physics,14,1,3585,,m3b_casia_fasd_live_5,,RND,rnd_0001,c5syn_ffa185cafef1b9251392c559
EXT-F1,4,physics,14,2,3586,,m3b_casia_fasd_live_6,,RND,rnd_0002,c5syn_9cbe08aefafb70fe97015797
EXT-F1,4,physics,14,3,3587,,m3b_casia_fasd_live_7,,RND,rnd_0003,c5syn_8f4af311c4e1dcfe7b33150d
EXT-F1,4,physics,14,4,3588,,m3b_casia_fasd_live_8,,RND,rnd_0004,c5syn_a3f3c43774355385bf15511e
EXT-F1,4,physics,14,5,3589,,m3b_casia_fasd_live_9,,RND,rnd_0005,c5syn_c7eb62b370204957070ee537
EXT-F1,4,physics,14,6,3590,,m3b_msu_mfsd_live_0,,RND,rnd_0006,c5syn_eae363dac101277be4ead313
EXT-F1,4,physics,14,7,3591,,m3b_msu_mfsd_live_1,,RND,rnd_0007,c5syn_09bbaa1e5792d21a04cc4ca3
EXT-F1,4,gpat,15,0,3840,cross_domain,m3b_casia_fasd_live_0,m3b_msu_mfsd_spoof_4,RND,rnd_0000,c5syn_122151c6d6428752653aba0c
EXT-F1,4,gpat,15,1,3841,cross_domain,m3b_casia_fasd_live_1,m3b_msu_mfsd_spoof_8,RND,rnd_0001,c5syn_ac3ee7b3d85e05b8df20a6f6
EXT-F1,4,gpat,15,2,3842,cross_domain,m3b_casia_fasd_live_2,m3b_msu_mfsd_spoof_1,RND,rnd_0002,c5syn_cb710f33283660de537d3758
EXT-F1,4,gpat,15,3,3843,cross_domain,m3b_casia_fasd_live_3,m3b_msu_mfsd_spoof_2,RND,rnd_0003,c5syn_9a8123f545562a1b58a1d147
EXT-F1,4,gpat,15,4,3844,cross_domain,m3b_casia_fasd_live_4,m3b_msu_mfsd_spoof_4,RND,rnd_0004,c5syn_5166719e3a4037734843bcb9
